name,method,params,trades,avg_pnl_pct,total_pnl_usdt,win_rate_pct
E49-2,E49,"{""lookback"": 4, ""min_strength"": 5.0}",687,8.983,9307.35,100.0000000000000000
E49-4,E49,"{""lookback"": 4, ""min_strength"": 10.0}",731,9.627,7498.85,100.0000000000000000
E51-2,E51,"{""pump_pct"": 20.0, ""max_pullback"": 20.0, ""pullback_pct"": 8.0}",694,9.870,7302.02,100.0000000000000000
E51-5,E51,"{""pump_pct"": 50.0, ""max_pullback"": 30.0, ""pullback_pct"": 15.0}",691,9.853,7204.47,100.0000000000000000
E51-1,E51,"{""pump_pct"": 15.0, ""max_pullback"": 15.0, ""pullback_pct"": 5.0}",686,9.977,7191.83,100.0000000000000000
E51-4,E51,"{""pump_pct"": 30.0, ""max_pullback"": 25.0, ""pullback_pct"": 10.0}",695,9.848,7113.90,100.0000000000000000
E51-3,E51,"{""pump_pct"": 25.0, ""max_pullback"": 20.0, ""pullback_pct"": 8.0}",685,9.888,7021.51,100.0000000000000000
E49-1,E49,"{""lookback"": 4, ""min_strength"": 3.0}",705,9.247,6784.82,99.8581560283687943
E49-3,E49,"{""lookback"": 4, ""min_strength"": 7.0}",661,9.063,6150.98,100.0000000000000000
E49-5,E49,"{""lookback"": 6, ""min_strength"": 15.0}",658,8.165,5601.37,100.0000000000000000
E17-8,E17,"{""lookback"": 48, ""sweep_pct"": 0.5, ""close_upper"": 50}",537,9.456,5097.22,100.0000000000000000
E18b-3,E18b,"{""adx_max"": 20, ""lookback"": 14, ""rsi_threshold"": 40}",407,12.148,4944.20,100.0000000000000000
E18b-5,E18b,"{""adx_max"": 25, ""lookback"": 14, ""rsi_threshold"": 35}",412,11.945,4928.87,100.0000000000000000
E18b-8,E18b,"{""adx_max"": 25, ""lookback"": 24, ""rsi_threshold"": 35}",409,12.010,4912.13,100.0000000000000000
E18b-4,E18b,"{""adx_max"": 25, ""lookback"": 14, ""rsi_threshold"": 30}",403,12.104,4877.90,100.0000000000000000
E18b-7,E18b,"{""adx_max"": 20, ""lookback"": 24, ""rsi_threshold"": 30}",410,11.872,4867.57,100.0000000000000000
E18b-1,E18b,"{""adx_max"": 20, ""lookback"": 14, ""rsi_threshold"": 30}",413,11.746,4857.23,100.0000000000000000
E17-6,E17,"{""lookback"": 24, ""sweep_pct"": 1.0, ""close_upper"": 60}",533,8.692,4654.63,100.0000000000000000
E17-9,E17,"{""lookback"": 48, ""sweep_pct"": 1.0, ""close_upper"": 60}",503,9.143,4599.16,100.0000000000000000
E17-5,E17,"{""lookback"": 24, ""sweep_pct"": 0.5, ""close_upper"": 50}",548,8.091,4456.98,100.0000000000000000
E17-3,E17,"{""lookback"": 12, ""sweep_pct"": 1.0, ""close_upper"": 60}",516,8.513,4412.57,100.0000000000000000
E16-9,E16,"{""lookback"": 72, ""rsi_threshold"": 45}",423,10.337,4372.46,100.0000000000000000
E16-2,E16,"{""lookback"": 24, ""rsi_threshold"": 40}",429,10.056,4324.35,100.0000000000000000
E17-1,E17,"{""lookback"": 12, ""sweep_pct"": 0.25, ""close_upper"": 40}",529,8.100,4304.74,100.0000000000000000
E16-7,E16,"{""lookback"": 72, ""rsi_threshold"": 35}",434,9.689,4215.15,100.0000000000000000
E16-3,E16,"{""lookback"": 24, ""rsi_threshold"": 45}",428,9.844,4213.27,100.0000000000000000
E16-5,E16,"{""lookback"": 48, ""rsi_threshold"": 40}",420,9.975,4189.51,100.0000000000000000
E16-8,E16,"{""lookback"": 72, ""rsi_threshold"": 40}",430,9.696,4169.48,100.0000000000000000
E16-6,E16,"{""lookback"": 48, ""rsi_threshold"": 45}",430,9.677,4161.27,100.0000000000000000
E16-1,E16,"{""lookback"": 24, ""rsi_threshold"": 35}",419,9.829,4118.44,100.0000000000000000
E18b-6,E18b,"{""adx_max"": 25, ""lookback"": 14, ""rsi_threshold"": 40}",412,9.907,4081.86,100.0000000000000000
E16-4,E16,"{""lookback"": 48, ""rsi_threshold"": 35}",419,9.740,4080.92,100.0000000000000000
E17-2,E17,"{""lookback"": 12, ""sweep_pct"": 0.5, ""close_upper"": 50}",528,7.682,4077.78,100.0000000000000000
E18b-9,E18b,"{""adx_max"": 25, ""lookback"": 24, ""rsi_threshold"": 40}",413,9.642,3982.02,100.0000000000000000
E18b-2,E18b,"{""adx_max"": 20, ""lookback"": 14, ""rsi_threshold"": 35}",408,9.631,3929.41,100.0000000000000000
E17-4,E17,"{""lookback"": 24, ""sweep_pct"": 0.25, ""close_upper"": 40}",513,7.650,3926.92,100.0000000000000000
E17-7,E17,"{""lookback"": 48, ""sweep_pct"": 0.25, ""close_upper"": 40}",493,7.473,3687.00,100.0000000000000000
