bot,coin,entry_price,exit_price,pnl_pct,pnl_usdt,hold_sec,exit_reason,trigger_jump,trigger_window,btc_regime,btc_24h_change,btc_dominance,market_age_days,entry_time,exit_time,max_profit_seen,max_loss_seen
E58v2-113,KAZAR,0.080000000000000000,0.277500000000000000,246.8750,246.87500000,180.0,timeout,7.00,3.00,bear,-0.9431,56.20,0.0,2026-06-18 09:10:01.577171+00:00,2026-06-18 09:13:01.578496+00:00,247.5000,0.0000
E58v2-113,UBOX,0.000019000000000000,0.000025000000000000,31.5789,31.57894737,180.0,timeout,7.00,3.00,bear,-0.9431,55.88,0.0,2026-06-18 23:04:19.737398+00:00,2026-06-18 23:07:19.741663+00:00,31.5789,0.0000
E58v2-113,CSIGMA,0.024000000000000000,0.030400000000000000,26.6667,26.66666667,180.0,trailing_stop,7.00,3.00,bear,,,,2026-06-16 18:47:42.910535+00:00,2026-06-16 18:50:07.297202+00:00,62.5000,0.0000
E58v2-113,CLAW,0.023900000000000000,0.025900000000000000,8.3682,8.36820084,180.0,trailing_stop,7.00,3.00,bear,0.1405,56.12,0.0,2026-06-17 12:22:49.662034+00:00,2026-06-17 12:23:08.413865+00:00,20.5021,-1.2552
E58v2-113,SHOT,0.283910000000000000,0.288500000000000000,1.6167,1.61670952,180.0,trailing_stop,7.00,3.00,bear,-0.9431,55.98,0.0,2026-06-18 16:00:01.649913+00:00,2026-06-18 16:00:09.448604+00:00,6.9635,0.0000
E58v2-113,CLAW,0.016100000000000000,0.016300000000000000,1.2422,1.24223602,180.0,trailing_stop,7.00,3.00,bear,0.1405,56.12,0.0,2026-06-17 12:35:28.460069+00:00,2026-06-17 12:35:42.355993+00:00,14.9068,0.0000
E58v2-113,EON,0.003756000000000000,0.003756000000000000,0.0000,0E-8,180.0,timeout,7.00,3.00,bear,0.1405,56.32,0.0,2026-06-16 19:10:24.768937+00:00,2026-06-16 19:13:24.770516+00:00,0.0000,0.0000
E58v2-113,OZONE,12.643000000000000000,12.643000000000000000,0.0000,0E-8,180.0,timeout,7.00,3.00,bear,,,,2026-06-16 18:49:05.804239+00:00,2026-06-16 18:52:05.806956+00:00,0.0000,0.0000
E58v2-113,EON,0.003840000000000000,0.003696000000000000,-3.7500,-3.75000000,180.0,trailing_stop,7.00,3.00,bear,-0.9431,56.02,0.0,2026-06-18 18:56:10.497444+00:00,2026-06-18 18:56:54.350824+00:00,11.8750,-3.7500
E58v2-113,CLAW,0.008500000000000000,0.007900000000000000,-7.0588,-7.05882353,180.0,stop_loss,7.00,3.00,bear,0.1405,56.28,0.0,2026-06-17 16:08:23.580181+00:00,2026-06-17 16:08:27.450782+00:00,0.0000,-7.0588
E58v2-113,CLAW,0.017000000000000000,0.015600000000000000,-8.2353,-8.23529412,180.0,stop_loss,7.00,3.00,bear,0.1405,56.12,0.0,2026-06-17 12:45:22.456778+00:00,2026-06-17 12:45:30.300795+00:00,0.0000,-8.2353
E58v2-113,CLAW,0.028600000000000000,0.026000000000000000,-9.0909,-9.09090909,180.0,stop_loss,7.00,3.00,bear,0.1405,56.12,0.0,2026-06-17 12:19:02.526780+00:00,2026-06-17 12:19:08.376138+00:00,0.0000,-9.0909
E58v2-113,CLAW,0.020800000000000000,0.018700000000000000,-10.0962,-10.09615385,180.0,stop_loss,7.00,3.00,bear,0.1405,56.12,0.0,2026-06-17 12:52:56.461752+00:00,2026-06-17 12:53:01.406180+00:00,0.0000,-10.0962
E58v2-113,OPENX,0.019310000000000000,0.017150000000000000,-11.1859,-11.18591403,180.0,stop_loss,7.00,3.00,bear,-0.9431,55.91,0.0,2026-06-18 18:16:26.579788+00:00,2026-06-18 18:16:27.365559+00:00,0.0000,-11.1859
E58v2-113,CLAW,0.008600000000000000,0.007600000000000000,-11.6279,-11.62790698,180.0,stop_loss,7.00,3.00,bear,0.1405,56.28,0.0,2026-06-17 16:11:02.374374+00:00,2026-06-17 16:11:04.459384+00:00,0.0000,-11.6279
E58v2-113,CLAW,0.002840000000000000,0.002507000000000000,-11.7254,-11.72535211,180.0,stop_loss,7.00,3.00,bear,-0.9431,55.98,0.0,2026-06-18 16:03:45.290002+00:00,2026-06-18 16:03:46.332495+00:00,0.0000,-11.7254
E58v2-113,TRN,0.000595200000000000,0.000520000000000000,-12.6344,-12.63440860,180.0,stop_loss,7.00,3.00,bear,-0.9431,56.04,0.0,2026-06-18 11:32:56.543931+00:00,2026-06-18 11:33:00.487516+00:00,0.0000,-12.6344
E58v2-114,KAZAR,0.080000000000000000,0.277500000000000000,246.8750,246.87500000,180.0,timeout,5.00,3.00,bear,-0.9431,56.20,0.0,2026-06-18 09:10:01.579384+00:00,2026-06-18 09:13:01.580633+00:00,247.5000,0.0000
E58v2-114,OZONE,5.600000000000000000,9.000000000000000000,60.7143,60.71428571,180.0,trailing_stop,5.00,3.00,bear,,,,2026-06-16 17:32:14.492471+00:00,2026-06-16 17:33:04.456596+00:00,75.0000,0.0000
E58v2-114,UBOX,0.000019000000000000,0.000025000000000000,31.5789,31.57894737,180.0,timeout,5.00,3.00,bear,-0.9431,55.88,0.0,2026-06-18 23:04:19.739160+00:00,2026-06-18 23:07:19.753329+00:00,31.5789,0.0000
E58v2-114,CSIGMA,0.024000000000000000,0.030400000000000000,26.6667,26.66666667,180.0,trailing_stop,5.00,3.00,bear,,,,2026-06-16 18:47:42.912831+00:00,2026-06-16 18:50:07.298280+00:00,62.5000,0.0000
E58v2-114,CLAW,0.023900000000000000,0.025900000000000000,8.3682,8.36820084,180.0,trailing_stop,5.00,3.00,bear,0.1405,56.12,0.0,2026-06-17 12:22:49.664007+00:00,2026-06-17 12:23:08.414609+00:00,20.5021,-1.2552
E58v2-114,SHOT,0.283910000000000000,0.288500000000000000,1.6167,1.61670952,180.0,trailing_stop,5.00,3.00,bear,-0.9431,55.98,0.0,2026-06-18 16:00:01.651715+00:00,2026-06-18 16:00:09.450203+00:00,6.9635,0.0000
E58v2-114,SN3,0.000630900000000000,0.000640100000000000,1.4582,1.45823427,180.0,trailing_stop,5.00,3.00,bear,0.1405,56.26,0.0,2026-06-16 19:59:15.361503+00:00,2026-06-16 19:59:42.372856+00:00,6.3560,-4.8027
E58v2-114,CLAW,0.016100000000000000,0.016300000000000000,1.2422,1.24223602,180.0,trailing_stop,5.00,3.00,bear,0.1405,56.12,0.0,2026-06-17 12:35:28.462136+00:00,2026-06-17 12:35:42.357092+00:00,14.9068,0.0000
E58v2-114,QLINDO,0.000528700000000000,0.000528700000000000,0.0000,0E-8,180.0,timeout,5.00,3.00,bear,-0.9431,55.90,0.0,2026-06-19 01:01:50.543896+00:00,2026-06-19 01:04:50.544990+00:00,0.0000,0.0000
E58v2-114,EON,0.003756000000000000,0.003756000000000000,0.0000,0E-8,180.0,timeout,5.00,3.00,bear,0.1405,56.32,0.0,2026-06-16 19:10:24.771087+00:00,2026-06-16 19:13:24.772613+00:00,0.0000,0.0000
E58v2-114,TOYL,2.000000000000000000,2.000000000000000000,0.0000,0E-8,180.0,trailing_stop,5.00,3.00,bear,0.1405,56.28,0.0,2026-06-17 16:00:04.788119+00:00,2026-06-17 16:00:16.234632+00:00,4.3600,-0.0050
E58v2-114,OZONE,12.643000000000000000,12.643000000000000000,0.0000,0E-8,180.0,timeout,5.00,3.00,bear,,,,2026-06-16 18:49:05.808364+00:00,2026-06-16 18:52:05.810304+00:00,0.0000,0.0000
E58v2-114,BDC,0.001998000000000000,0.001997000000000000,-0.0501,-0.05005005,180.0,timeout,5.00,3.00,bear,-2.5912,56.11,0.0,2026-06-18 00:11:48.763585+00:00,2026-06-18 00:14:48.765603+00:00,0.0000,-0.0501
E58v2-114,EON,0.003840000000000000,0.003696000000000000,-3.7500,-3.75000000,180.0,trailing_stop,5.00,3.00,bear,-0.9431,56.02,0.0,2026-06-18 18:56:10.499343+00:00,2026-06-18 18:56:54.351917+00:00,11.8750,-3.7500
E58v2-114,GACHA,0.000504700000000000,0.000485000000000000,-3.9033,-3.90330890,180.0,trailing_stop,5.00,3.00,bear,-0.9431,55.90,0.0,2026-06-19 00:23:21.239107+00:00,2026-06-19 00:23:31.310895+00:00,2.1399,-4.7355
E58v2-114,CLAW,0.002650000000000000,0.002507000000000000,-5.3962,-5.39622642,180.0,trailing_stop,5.00,3.00,bear,-0.9431,55.98,0.0,2026-06-18 16:03:38.451821+00:00,2026-06-18 16:03:46.327092+00:00,7.1698,-5.3962
E58v2-114,CLAW,0.008500000000000000,0.007900000000000000,-7.0588,-7.05882353,180.0,stop_loss,5.00,3.00,bear,0.1405,56.28,0.0,2026-06-17 16:08:23.582644+00:00,2026-06-17 16:08:27.452223+00:00,0.0000,-7.0588
E58v2-114,MINDFAK,0.000326000000000000,0.000301400000000000,-7.5460,-7.54601227,180.0,stop_loss,5.00,3.00,bear,0.1405,56.22,0.0,2026-06-17 14:18:28.498140+00:00,2026-06-17 14:18:52.369096+00:00,0.2454,-7.5460
E58v2-114,TOYL,2.431000000000000000,2.235600000000000000,-8.0378,-8.03784451,180.0,stop_loss,5.00,3.00,bear,-0.9431,55.98,0.0,2026-06-18 16:03:30.443833+00:00,2026-06-18 16:03:31.446719+00:00,0.0000,-8.0378
E58v2-114,CLAW,0.017000000000000000,0.015600000000000000,-8.2353,-8.23529412,180.0,stop_loss,5.00,3.00,bear,0.1405,56.12,0.0,2026-06-17 12:45:22.458196+00:00,2026-06-17 12:45:30.302188+00:00,0.0000,-8.2353
E58v2-114,AVV,0.010147000000000000,0.009300000000000000,-8.3473,-8.34729477,180.0,stop_loss,5.00,3.00,bear,0.1405,56.22,0.0,2026-06-17 14:11:24.494052+00:00,2026-06-17 14:11:28.410210+00:00,0.0000,-8.3473
E58v2-114,CLAW,0.018000000000000000,0.016400000000000000,-8.8889,-8.88888889,180.0,stop_loss,5.00,3.00,bear,0.1405,56.12,0.0,2026-06-17 12:32:51.552427+00:00,2026-06-17 12:32:55.328332+00:00,0.0000,-8.8889
E58v2-114,CLAW,0.028600000000000000,0.026000000000000000,-9.0909,-9.09090909,180.0,stop_loss,5.00,3.00,bear,0.1405,56.12,0.0,2026-06-17 12:19:02.529395+00:00,2026-06-17 12:19:08.377378+00:00,0.0000,-9.0909
E58v2-114,SWEAT,0.001159200000000000,0.001050800000000000,-9.3513,-9.35127674,180.0,stop_loss,5.00,3.00,bear,0.1405,56.14,0.0,2026-06-17 10:30:24.483844+00:00,2026-06-17 10:30:27.299099+00:00,0.0000,-9.3513
E58v2-114,XEF,0.015299700000000000,0.013790100000000000,-9.8669,-9.86686013,180.0,stop_loss,5.00,3.00,bear,-0.9431,56.13,0.0,2026-06-18 06:18:42.388523+00:00,2026-06-18 06:18:51.381674+00:00,0.1327,-9.8669
E58v2-114,CLAW,0.020800000000000000,0.018700000000000000,-10.0962,-10.09615385,180.0,stop_loss,5.00,3.00,bear,0.1405,56.12,0.0,2026-06-17 12:52:56.464151+00:00,2026-06-17 12:53:01.407010+00:00,0.0000,-10.0962
E58v2-114,NOMOX,0.005700000000000000,0.005088000000000000,-10.7368,-10.73684211,180.0,stop_loss,5.00,3.00,bear,0.1405,56.25,0.0,2026-06-17 07:33:22.569657+00:00,2026-06-17 07:33:23.447237+00:00,0.0000,-10.7368
E58v2-114,AVV,0.011437000000000000,0.010170000000000000,-11.0781,-11.07807992,180.0,stop_loss,5.00,3.00,bear,0.1405,56.22,0.0,2026-06-17 14:13:11.270223+00:00,2026-06-17 14:13:13.201459+00:00,0.0000,-11.0781
E58v2-114,OPENX,0.019310000000000000,0.017150000000000000,-11.1859,-11.18591403,180.0,stop_loss,5.00,3.00,bear,-0.9431,55.91,0.0,2026-06-18 18:16:26.582002+00:00,2026-06-18 18:16:27.366581+00:00,0.0000,-11.1859
E58v2-114,CLAW,0.008600000000000000,0.007600000000000000,-11.6279,-11.62790698,180.0,stop_loss,5.00,3.00,bear,0.1405,56.28,0.0,2026-06-17 16:11:02.375825+00:00,2026-06-17 16:11:04.460812+00:00,0.0000,-11.6279
E58v2-114,TRN,0.000595200000000000,0.000520000000000000,-12.6344,-12.63440860,180.0,stop_loss,5.00,3.00,bear,-0.9431,56.04,0.0,2026-06-18 11:32:56.545949+00:00,2026-06-18 11:33:00.489155+00:00,0.0000,-12.6344
E58v2-115,KAZAR,0.080000000000000000,0.277500000000000000,246.8750,246.87500000,180.0,timeout,6.00,3.00,bear,-0.9431,56.20,0.0,2026-06-18 09:10:01.581291+00:00,2026-06-18 09:13:01.582564+00:00,247.5000,0.0000
E58v2-115,UBOX,0.000019000000000000,0.000025000000000000,31.5789,31.57894737,180.0,timeout,6.00,3.00,bear,-0.9431,55.88,0.0,2026-06-18 23:04:19.740971+00:00,2026-06-18 23:07:19.753637+00:00,31.5789,0.0000
E58v2-115,CSIGMA,0.024000000000000000,0.030400000000000000,26.6667,26.66666667,180.0,trailing_stop,6.00,3.00,bear,,,,2026-06-16 18:47:42.915288+00:00,2026-06-16 18:50:07.299256+00:00,62.5000,0.0000
E58v2-115,CLAW,0.023900000000000000,0.025900000000000000,8.3682,8.36820084,180.0,trailing_stop,6.00,3.00,bear,0.1405,56.12,0.0,2026-06-17 12:22:49.666194+00:00,2026-06-17 12:23:08.415448+00:00,20.5021,-1.2552
E58v2-115,SHOT,0.283910000000000000,0.288500000000000000,1.6167,1.61670952,180.0,trailing_stop,6.00,3.00,bear,-0.9431,55.98,0.0,2026-06-18 16:00:01.653203+00:00,2026-06-18 16:00:09.451482+00:00,6.9635,0.0000
E58v2-115,CLAW,0.016100000000000000,0.016300000000000000,1.2422,1.24223602,180.0,trailing_stop,6.00,3.00,bear,0.1405,56.12,0.0,2026-06-17 12:35:28.463999+00:00,2026-06-17 12:35:42.358256+00:00,14.9068,0.0000
E58v2-115,CLAW,0.002498000000000000,0.002520000000000000,0.8807,0.88070456,180.0,trailing_stop,6.00,3.00,bear,-0.9431,55.98,0.0,2026-06-18 16:02:41.474065+00:00,2026-06-18 16:03:02.343353+00:00,6.4852,-6.6453
E58v2-115,EON,0.003756000000000000,0.003756000000000000,0.0000,0E-8,180.0,timeout,6.00,3.00,bear,0.1405,56.32,0.0,2026-06-16 19:10:24.773393+00:00,2026-06-16 19:13:24.774929+00:00,0.0000,0.0000
E58v2-115,OZONE,12.643000000000000000,12.643000000000000000,0.0000,0E-8,180.0,timeout,6.00,3.00,bear,,,,2026-06-16 18:49:05.811565+00:00,2026-06-16 18:52:05.813958+00:00,0.0000,0.0000
E58v2-115,EON,0.003840000000000000,0.003696000000000000,-3.7500,-3.75000000,180.0,trailing_stop,6.00,3.00,bear,-0.9431,56.02,0.0,2026-06-18 18:56:10.501137+00:00,2026-06-18 18:56:54.352930+00:00,11.8750,-3.7500
E58v2-115,CLAW,0.008500000000000000,0.007900000000000000,-7.0588,-7.05882353,180.0,stop_loss,6.00,3.00,bear,0.1405,56.28,0.0,2026-06-17 16:08:23.585162+00:00,2026-06-17 16:08:27.454016+00:00,0.0000,-7.0588
E58v2-115,CLAW,0.017000000000000000,0.015600000000000000,-8.2353,-8.23529412,180.0,stop_loss,6.00,3.00,bear,0.1405,56.12,0.0,2026-06-17 12:45:22.459618+00:00,2026-06-17 12:45:30.303167+00:00,0.0000,-8.2353
E58v2-115,CLAW,0.028600000000000000,0.026000000000000000,-9.0909,-9.09090909,180.0,stop_loss,6.00,3.00,bear,0.1405,56.12,0.0,2026-06-17 12:19:02.532017+00:00,2026-06-17 12:19:08.378615+00:00,0.0000,-9.0909
E58v2-115,CLAW,0.020800000000000000,0.018700000000000000,-10.0962,-10.09615385,180.0,stop_loss,6.00,3.00,bear,0.1405,56.12,0.0,2026-06-17 12:52:56.466761+00:00,2026-06-17 12:53:01.407875+00:00,0.0000,-10.0962
E58v2-115,OPENX,0.019310000000000000,0.017150000000000000,-11.1859,-11.18591403,180.0,stop_loss,6.00,3.00,bear,-0.9431,55.91,0.0,2026-06-18 18:16:26.584377+00:00,2026-06-18 18:16:27.367607+00:00,0.0000,-11.1859
E58v2-115,CLAW,0.002136000000000000,0.001890000000000000,-11.5169,-11.51685393,180.0,stop_loss,6.00,3.00,bear,-0.9431,55.98,0.0,2026-06-18 16:07:32.622688+00:00,2026-06-18 16:07:37.466021+00:00,0.0000,-11.5169
E58v2-115,CLAW,0.008600000000000000,0.007600000000000000,-11.6279,-11.62790698,180.0,stop_loss,6.00,3.00,bear,0.1405,56.28,0.0,2026-06-17 16:11:02.377322+00:00,2026-06-17 16:11:04.462075+00:00,0.0000,-11.6279
E58v2-115,TRN,0.000595200000000000,0.000520000000000000,-12.6344,-12.63440860,180.0,stop_loss,6.00,3.00,bear,-0.9431,56.04,0.0,2026-06-18 11:32:56.548015+00:00,2026-06-18 11:33:00.490498+00:00,0.0000,-12.6344
E58v2-115,CLAW,0.008700000000000000,0.007500000000000000,-13.7931,-13.79310345,180.0,stop_loss,6.00,3.00,bear,0.1405,56.28,0.0,2026-06-17 16:15:47.428797+00:00,2026-06-17 16:15:48.333655+00:00,0.0000,-13.7931
E58v2-118,KAZAR,0.080000000000000000,0.250860000000000000,213.5750,213.57500000,300.0,trailing_stop,4.00,3.00,bear,-0.9431,56.20,0.0,2026-06-18 09:10:01.586755+00:00,2026-06-18 09:13:48.272320+00:00,247.5000,0.0000
