bot,coin,entry_price,exit_price,pnl_pct,pnl_usdt,hold_sec,exit_reason,trigger_jump,trigger_window,btc_regime,btc_24h_change,btc_dominance,market_age_days,entry_time,exit_time,max_profit_seen,max_loss_seen
E58-105,OZONE,4.050000000000000000,8.250000000000000000,103.7037,103.70370370,50.0,timer,15.71,3.00,bear,0.1405,56.39,,2026-06-16 17:31:52.311372+00:00,2026-06-16 17:32:42.313521+00:00,103.7037,0.0000
E58-105,CSIGMA,0.024000000000000000,0.039000000000000000,62.5000,62.50000000,50.0,timer,20.00,3.00,bear,0.1405,56.32,,2026-06-16 18:47:42.271690+00:00,2026-06-16 18:48:32.273808+00:00,62.5000,0.0000
E58-105,OZONE,8.099000000000000000,12.000000000000000000,48.1664,48.16644030,50.0,timer,12.99,3.00,bear,0.1405,56.32,,2026-06-16 18:43:18.333019+00:00,2026-06-16 18:44:08.337033+00:00,48.1664,0.0000
E58-105,OZONE,60.000000000000000000,88.660000000000000000,47.7667,47.76666667,50.0,timer,20.00,3.00,bear,0.1405,56.39,,2026-06-16 17:37:43.300553+00:00,2026-06-16 17:38:33.302495+00:00,47.7667,0.0000
E58-105,CSIGMA,0.108000000000000000,0.132550000000000000,22.7315,22.73148148,50.0,timer,20.00,3.00,bear,0.1405,56.39,,2026-06-16 17:51:11.311367+00:00,2026-06-16 17:52:01.312811+00:00,22.7315,0.0000
E58-105,CSIGMA,0.022000000000000000,0.027000000000000000,22.7273,22.72727273,50.0,timer,15.85,3.00,bear,0.1405,56.32,0.0,2026-06-16 19:12:46.347402+00:00,2026-06-16 19:13:36.348778+00:00,22.7273,0.0000
E58-105,OZONE,7.872000000000000000,9.599000000000000000,21.9385,21.93851626,50.0,timer,11.33,3.00,bear,0.1405,56.32,0.0,2026-06-16 19:10:20.308352+00:00,2026-06-16 19:11:10.310810+00:00,21.9385,0.0000
E58-105,OZONE,11.500000000000000000,14.000000000000000000,21.7391,21.73913043,50.0,timer,15.01,3.00,bear,0.1405,56.39,,2026-06-16 18:17:13.321418+00:00,2026-06-16 18:18:03.323656+00:00,21.7391,0.0000
E58-105,OZONE,27.000000000000000000,32.000000000000000000,18.5185,18.51851852,50.0,timer,17.39,3.00,bear,0.1405,56.39,,2026-06-16 18:00:10.310409+00:00,2026-06-16 18:01:00.312089+00:00,29.6296,0.0000
E58-105,OZONE,13.805000000000000000,15.543000000000000000,12.5896,12.58964143,50.0,timer,10.44,3.00,bear,0.1405,56.32,,2026-06-16 18:33:30.303891+00:00,2026-06-16 18:34:20.305374+00:00,12.5896,0.0000
E58-105,XRPHAI,0.009580000000000000,0.010760000000000000,12.3173,12.31732777,50.0,timer,13.11,3.00,bear,0.1405,56.39,,2026-06-16 18:08:10.264476+00:00,2026-06-16 18:09:00.266294+00:00,13.8831,0.0000
E58-105,OZONE,9.900000000000000000,10.500000000000000000,6.0606,6.06060606,50.0,timer,16.75,3.00,bear,0.1405,56.32,0.0,2026-06-16 18:55:44.419145+00:00,2026-06-16 18:56:34.421948+00:00,6.0606,0.0000
E58-105,CSIGMA,0.034000000000000000,0.034010000000000000,0.0294,0.02941176,50.0,timer,13.30,3.00,bear,0.1405,56.32,,2026-06-16 18:40:40.285094+00:00,2026-06-16 18:41:30.287497+00:00,9.9706,-11.7353
E58-105,OZONE,12.643000000000000000,12.643000000000000000,0.0000,0E-8,50.0,timer,14.12,3.00,bear,0.1405,56.32,,2026-06-16 18:49:05.305926+00:00,2026-06-16 18:49:55.309119+00:00,0.0000,0.0000
E58-105,OBI,0.000172300000000000,0.000172300000000000,0.0000,0E-8,50.0,timer,14.11,3.00,bear,0.1405,56.39,,2026-06-16 18:04:49.266329+00:00,2026-06-16 18:05:39.267537+00:00,0.0000,0.0000
E58-105,TRCR,0.001923500000000000,0.001923500000000000,0.0000,0E-8,50.0,timer,12.65,3.00,bear,0.1405,56.32,0.0,2026-06-16 19:04:06.306604+00:00,2026-06-16 19:04:56.309417+00:00,0.0000,0.0000
E58-105,OPT,0.000370000000000000,0.000370000000000000,0.0000,0E-8,50.0,timer,19.35,3.00,bear,0.1405,56.32,,2026-06-16 18:32:49.287870+00:00,2026-06-16 18:33:39.295073+00:00,0.0000,0.0000
E58-105,OZONE,15.700000000000000000,15.700000000000000000,0.0000,0E-8,50.0,timer,19.92,3.00,bear,0.1405,56.39,,2026-06-16 18:26:27.321295+00:00,2026-06-16 18:27:17.323354+00:00,0.0000,0.0000
E58-105,EON,0.003756000000000000,0.003756000000000000,0.0000,0E-8,50.0,timer,16.68,3.00,bear,0.1405,56.32,0.0,2026-06-16 19:10:24.317792+00:00,2026-06-16 19:11:14.319888+00:00,0.0000,0.0000
E58-105,AIPO,0.001496000000000000,0.001496000000000000,0.0000,0E-8,50.0,timer,24.67,3.00,bear,0.1405,56.39,,2026-06-16 18:01:14.248713+00:00,2026-06-16 18:02:04.250009+00:00,0.0000,0.0000
E58-105,MBD,4.80000000000E-7,4.80000000000E-7,0.0000,0E-8,50.0,timer,11.63,3.00,bear,0.1405,56.39,,2026-06-16 17:57:16.251257+00:00,2026-06-16 17:58:06.253671+00:00,0.0000,0.0000
E58-105,OPT,0.000420000000000000,0.000420000000000000,0.0000,0E-8,50.0,timer,13.51,3.00,bear,0.1405,56.32,,2026-06-16 18:44:22.294073+00:00,2026-06-16 18:45:12.301043+00:00,0.0000,0.0000
E58-105,ANT,0.000009838000000000,0.000009838000000000,0.0000,0E-8,50.0,timer,19.98,3.00,bear,0.1405,56.39,,2026-06-16 17:56:45.248433+00:00,2026-06-16 17:57:35.255656+00:00,0.0000,0.0000
E58-105,MCOIN,0.065020000000000000,0.064920000000000000,-0.1538,-0.15379883,50.0,timer,12.18,3.00,bear,0.1405,56.32,,2026-06-16 18:45:39.215083+00:00,2026-06-16 18:46:29.216736+00:00,0.0000,-0.1538
E58-105,SHOT,0.807850000000000000,0.795470000000000000,-1.5325,-1.53246271,50.0,timer,13.11,3.00,bear,0.1405,56.32,,2026-06-16 18:48:25.283239+00:00,2026-06-16 18:49:15.288241+00:00,0.6301,-9.8843
E58-105,STRM,0.000440900000000000,0.000433000000000000,-1.7918,-1.79178952,50.0,timer,11.00,3.00,bear,0.1405,56.39,,2026-06-16 17:51:49.306982+00:00,2026-06-16 17:52:39.309556+00:00,0.0000,-6.0785
E58-105,RBT,31.390000000000000000,30.640000000000000000,-2.3893,-2.38929595,50.0,timer,20.64,3.00,bear,0.1405,56.39,,2026-06-16 18:21:46.280690+00:00,2026-06-16 18:22:36.283222+00:00,23.0965,-2.3893
E58-105,BSA,0.001499000000000000,0.001428000000000000,-4.7365,-4.73649099,50.0,timer,11.45,3.00,bear,0.1405,56.39,,2026-06-16 17:58:01.276122+00:00,2026-06-16 17:58:51.282250+00:00,4.5364,-4.8032
